,1,2
2001,195,410
2052,264,530
2101,646,1248
2152,658,1371
2201,646,1594
2252,329,696
2301,167,367
2352,575,1231
2401,616,1334
2452,355,771
2501,375,888
2552,476,1023
2601,435,937
2652,399,832
2701,471,926
2752,699,1538
2801,628,1314
2852,636,1276
2901,669,1497
2952,415,971
3001,387,838
3052,507,1060
3101,594,1194
3201,554,1187
3252,447,910
3301,541,1153
3401,587,1239
3452,859,1734
3501,386,813
3552,667,1599
3601,695,1390
4001,695,1463
4052,496,1062
4101,284,581
4152,511,1008
4201,432,862
4252,614,1442
4352,729,1460
4401,365,801
4452,1064,2231
4501,510,1104
4552,412,833
4601,566,1148
4652,649,1376
4701,755,1504
4752,726,1512
4801,587,1235
4852,570,1054
4901,317,728
4952,456,987
5001,579,1280
5052,431,1064
5101,523,1104
5152,699,1470
5201,630,1401
5252,656,1279
5301,451,948
5352,268,616
5401,440,894
5452,575,1281
5501,404,903
5552,873,1729
