,1,2,3
2901,420,959,1497
2652,243,558,832
5152,471,909,1470
3601,479,919,1390
2452,198,493,771
4101,188,372,581
4452,692,1444,2231
3001,237,531,838
4652,423,885,1375
2801,412,858,1314
4552,262,575,833
4952,277,632,987
5052,259,657,1064
5501,247,588,903
5252,446,849,1279
2201,417,966,1594
4201,281,574,862
3552,437,959,1599
4701,472,1000,1503
4901,213,458,728
4001,459,921,1462
3252,289,610,910
3101,403,787,1193
4352,481,965,1458
2152,433,880,1371
2401,429,842,1334
5352,162,375,616
3301,343,753,1153
2501,215,543,888
3452,604,1119,1734
5001,396,811,1280
2852,411,792,1276
2601,280,604,937
4801,400,812,1235
4252,385,878,1442
2701,295,625,926
5201,400,873,1401
5401,289,586,894
2052,174,349,530
4501,346,714,1104
5552,553,1166,1729
5101,333,711,1104
3052,333,699,1060
2952,273,577,970
4601,373,753,1148
4152,339,682,1008
3401,371,769,1239
2552,311,634,1023
4052,311,682,1062
3201,361,749,1187
3501,237,543,812
4752,496,971,1512
4401,235,523,801
4852,369,717,1054
2301,102,223,366
2001,128,254,410
2752,462,950,1537
5301,285,623,948
2352,336,778,1230
2101,429,851,1248
2252,206,454,696
5452,375,790,1281
