,ppron,adverb,preps,verb,quant,negate,auxverb,conj,#total
2001 Game1-1,11.05263158,7.192982456,7.543859649,28.24561404,0.877192982,2.105263158,19.8245614,10.70175439,1
2001 Game1-2,7.699901283,5.429417572,11.15498519,23.29713722,2.270483712,2.961500494,16.09081935,7.305034551,1
2001 Game1-3,7.90513834,5.928853755,8.893280632,24.50592885,1.778656126,2.56916996,15.2173913,7.312252964,1
2052 Game1-1,10.99137931,6.681034483,8.405172414,26.07758621,1.50862069,3.448275862,19.82758621,11.20689655,1
2052 Game1-2,8.153477218,6.954436451,7.673860911,23.74100719,2.637889688,3.836930456,19.66426859,11.75059952,1
2052 Game1-3,10.61320755,7.075471698,9.198113208,28.18396226,0.943396226,3.301886792,21.93396226,11.55660377,1
2101 Game1-1,11.51138716,9.440993789,9.358178054,29.52380952,1.449275362,3.14699793,20.53830228,10.26915114,1
2101 Game1-2,10.45627376,6.178707224,7.604562738,26.14068441,1.330798479,3.136882129,20.53231939,9.030418251,1
2101 Game1-3,10.46405823,6.915377616,7.825295723,28.11646952,3.093721565,3.275705187,22.11101001,8.098271156,1
2152 Game1-1,11.69916435,8.286908078,7.381615599,29.73537604,1.671309192,4.247910864,22.63231198,13.16155989,1
2152 Game1-2,11.98815984,9.225456339,6.906758757,34.73112975,0.937345831,4.785397139,24.56832758,7.350764677,1
2152 Game1-3,11.29431162,10.22258862,5.111294312,30.00824402,1.896125309,4.122011542,24.64962902,9.727947238,1
2152 Game1-4,12.51461988,5.847953216,7.719298246,32.86549708,1.169590643,5.497076023,23.04093567,6.666666667,1
2201 Game1-1,11.25485123,6.727037516,9.055627426,26.84346701,1.164294955,2.328589909,20.69857697,9.379042691,1
2201 Game1-2,12.29909154,8.94479385,5.870020964,33.12368973,1.048218029,4.612159329,26.90426275,10.6219427,1
2201 Game1-3,13.06306306,7.995495496,8.445945946,31.64414414,1.351351351,4.954954955,24.54954955,10.36036036,1
2201 Game1-4,11.63604549,7.655293088,6.78040245,30.88363955,1.749781277,3.412073491,21.69728784,7.567804025,1
2252 Game1-1,10.02066116,10.74380165,7.334710744,26.96280992,1.446280992,2.789256198,20.76446281,11.05371901,1
2252 Game1-2,8.96656535,6.990881459,8.662613982,24.46808511,1.063829787,4.483282675,18.99696049,9.802431611,1
2252 Game1-3,11.51586369,9.165687427,8.578143361,27.49706228,1.175088132,3.407755582,19.97649824,9.988249119,1
