,and,,just,then,is,it,one,have,no,three,to,you,#total,do,we,0000,that,here,two,a,on,i,of,up,this,so,can,the
2001 Game1-1,21,0,3,8,5,8,15,5,1,2,16,5,520,1,6,0,10,4,9,6,1,36,1,4,0,11,7,5
2001 Game1-2,32,0,3,5,6,20,23,7,2,11,40,35,1050,1,15,0,23,4,20,9,8,32,17,14,0,10,9,30
2001 Game1-3,20,0,4,5,4,10,19,3,1,3,17,7,514,1,5,0,14,5,9,1,1,27,4,5,0,9,6,8
2052 Game1-1,20,0,3,18,0,9,13,8,4,3,9,12,436,1,2,0,10,3,13,0,1,22,16,2,0,11,5,15
2052 Game1-2,11,0,2,8,3,6,16,8,4,4,8,11,376,4,4,0,4,3,3,0,3,18,8,5,0,14,4,3
2052 Game1-3,29,0,3,24,6,10,20,16,3,5,29,35,838,15,15,0,19,4,13,1,7,38,14,7,0,30,10,19
2101 Game1-1,73,0,47,47,26,50,35,29,12,13,52,84,2470,11,49,0,53,18,38,23,7,109,56,42,0,55,41,53
2101 Game1-2,28,0,10,23,7,16,31,27,9,11,24,21,1064,11,28,0,28,3,11,2,6,47,17,10,0,15,14,14
2101 Game1-3,31,0,9,17,3,14,32,24,7,10,22,30,1137,9,29,0,24,9,12,7,4,54,24,11,0,12,12,20
2152 Game1-1,65,0,15,50,7,30,14,19,8,7,27,49,1447,8,32,0,38,15,15,4,9,68,28,9,0,34,30,25
2152 Game1-2,43,0,27,28,12,67,62,36,24,29,38,72,1995,33,31,0,61,12,28,7,22,82,24,2,0,30,25,28
2152 Game1-3,27,0,24,22,6,30,20,17,4,9,11,33,1232,12,19,0,19,8,12,7,13,84,16,2,0,43,21,18
2152 Game1-4,19,0,9,8,4,22,30,8,5,13,20,29,840,6,12,0,21,4,12,1,7,35,21,3,0,8,10,24
2201 Game1-1,36,0,12,18,11,31,36,22,9,6,48,57,1635,12,28,0,44,9,23,23,11,71,16,14,0,40,18,38
2201 Game1-2,27,0,12,20,14,20,31,21,9,7,23,68,1495,19,25,0,43,14,16,7,12,79,13,16,0,58,32,31
2201 Game1-3,26,0,7,14,2,15,13,12,4,1,24,33,937,11,20,0,27,6,7,6,4,56,17,7,0,33,22,5
2201 Game1-4,36,0,23,23,22,40,21,23,18,15,36,69,2412,22,83,0,61,16,21,22,14,100,15,21,0,44,34,51
2252 Game1-1,25,0,9,19,8,14,18,10,4,5,19,48,988,9,15,0,20,10,11,6,6,37,17,15,0,39,11,19
2252 Game1-2,52,0,6,22,11,16,32,22,9,13,29,29,1308,6,19,0,49,22,23,5,10,62,20,13,0,30,23,18
2252 Game1-3,32,0,9,17,2,11,20,7,5,2,20,23,837,3,19,0,35,10,3,8,6,36,6,18,0,17,16,15
2252 Game1-4,13,0,0,10,0,0,7,2,1,1,0,5,146,3,1,0,2,1,2,0,0,8,2,1,0,13,3,1
2301 Game1-1,18,0,11,9,1,6,13,4,1,3,12,12,494,1,8,0,14,2,10,1,1,30,11,4,0,13,5,10
2301 Game1-2,8,0,1,2,3,3,3,3,3,4,3,1,185,0,1,0,3,0,4,1,0,12,7,0,0,5,0,1
2301 Game1-3,25,0,1,8,3,3,9,4,2,3,18,17,496,5,6,0,13,6,4,0,4,24,15,9,0,12,3,20
2352 Game1-1,34,0,11,11,13,37,16,21,9,11,31,55,1617,15,30,0,47,11,13,8,14,69,19,8,0,42,28,46
2352 Game1-2,22,0,11,14,12,19,22,20,6,2,35,32,1097,18,23,0,41,3,13,7,4,58,16,0,0,33,13,23
2352 Game1-3,20,0,12,22,3,17,15,26,7,9,31,48,1133,14,19,0,26,1,10,8,11,73,21,0,0,29,13,41
2352 Game1-4,38,0,8,28,4,27,26,19,17,5,34,51,1403,16,16,0,79,6,13,11,5,59,15,5,0,47,26,23
2401 Game1-1,19,0,16,7,11,42,37,33,13,24,48,77,1775,17,26,0,47,4,36,9,8,73,13,11,0,45,39,30
2401 Game1-2,57,0,20,18,13,55,56,43,16,27,50,76,2058,9,33,0,46,16,31,14,13,110,26,10,0,71,47,38
2401 Game1-3,71,0,32,45,7,38,28,28,26,11,63,76,2052,13,44,0,67,20,19,2,7,82,19,13,0,74,26,25
2452 Game1-1,26,0,10,26,6,11,16,4,9,8,6,24,656,5,3,0,22,8,21,1,1,21,10,6,0,8,7,10
2452 Game1-2,23,0,19,16,6,35,42,16,12,7,32,54,1334,13,6,0,67,3,16,10,8,55,9,8,0,27,25,26
2452 Game1-3,26,0,2,18,2,9,21,10,1,7,19,14,540,2,8,0,7,3,10,1,2,16,6,5,0,21,9,14
2501 Game1-1,18,0,3,18,6,12,25,16,4,5,32,40,894,11,5,0,27,7,13,2,6,43,17,7,0,21,24,19
2501 Game1-2,15,0,11,8,0,14,11,10,6,8,17,33,838,6,8,0,21,6,10,9,5,25,21,6,0,19,25,9
2501 Game1-3,8,0,9,5,0,10,7,16,2,3,13,17,567,3,12,0,15,4,8,3,2,29,13,5,0,10,5,9
2501 Game1-4,16,0,3,6,0,5,6,9,0,2,14,12,455,6,7,0,4,2,1,4,4,38,8,5,0,10,9,15
2552 Game1-1,14,0,1,11,1,4,7,14,2,1,16,15,550,4,4,0,6,16,7,8,1,45,5,8,0,20,15,8
2552 Game1-2,49,0,33,48,11,54,50,35,13,9,69,132,2736,31,50,0,83,11,40,18,22,87,40,42,0,103,47,65
2552 Game1-3,86,0,26,75,20,31,33,46,19,22,53,103,2421,28,82,0,80,34,37,14,12,88,25,25,0,39,61,47
2601 Game1-1,70,0,12,52,8,27,46,21,13,11,41,83,2192,19,48,0,49,15,24,14,10,115,42,18,0,48,33,52
2601 Game1-2,79,0,15,45,28,40,46,44,7,24,74,99,2505,31,53,0,87,13,38,24,14,98,35,16,0,115,33,37
2601 Game1-3,16,0,12,9,4,10,16,6,3,1,14,20,721,8,11,0,9,7,6,4,2,52,5,7,0,20,13,8
2652 Game1-1,23,0,13,17,10,14,28,6,3,9,23,21,961,6,15,0,27,3,5,8,8,42,7,6,0,27,18,17
2652 Game1-2,38,0,8,23,7,32,17,7,13,12,29,48,1343,13,23,0,24,10,20,6,8,65,16,1,0,25,31,20
