,LIWC_64_category@partnerDiff,LIWC_64_category@otherDiff
2001,69.0750812902,82.0183933766
2052,52.4415405868,66.0563053276
2101,53.6793783269,60.946771747
2152,60.5061010909,68.1471310826
2201,55.4987523356,64.4905407816
2252,71.8717476628,75.5337814982
2301,78.1352541016,79.9523919512
2352,49.2055675719,61.5788767881
2401,50.9472042808,64.1438478706
2452,74.0256525827,74.5782283198
2501,53.4291694392,63.8817443255
2552,64.7836159774,75.3536734372
2601,47.0451354303,62.1209936971
2652,53.4849561716,66.5511126683
2701,66.242729622,64.8182959306
2752,48.2346493294,64.0848465783
2801,72.8955636196,69.0325644645
2852,79.9189033328,71.8712031727
2901,32.0057756676,58.7302533483
2952,56.4689962584,66.795180736
3001,68.6798368211,66.4347786386
3052,65.1940344089,66.0364309854
3101,68.7548456148,65.1331810487
3201,71.2040188872,72.0508215124
3252,56.3714681273,62.5388779887
3301,68.9121383844,75.7967512
3401,89.2534972807,77.6569576998
3452,62.9613669118,64.8354885422
3501,86.8857494618,71.7714201872
3552,53.741083059,62.7325971929
3601,55.3132401048,61.9003874498
4001,87.9886014215,76.6460351062
4052,80.8792460484,71.6971933029
4101,67.0940540967,72.7107904706
4152,69.951520756,74.6875105278
4201,51.2064987112,63.5866196456
4252,58.196576702,62.4242005321
4352,49.8983341808,62.0103517685
4401,60.5795101452,63.8828437492
4452,48.1992557765,60.9512348147
4501,63.1642158134,67.8218578021
4552,60.0961755567,65.3504851144
4601,70.7237760901,70.4340697044
4652,63.9097319217,67.328543647
4701,77.3728286975,68.9096601154
4752,57.5614360467,64.1782305206
4801,54.8217621958,60.5129473848
4852,63.2622177656,70.1870014126
4901,70.4144837466,69.8352602175
4952,67.3222692695,67.4176286985
5001,98.7877963847,96.1708795998
5052,68.0438060715,72.0803491192
5101,50.5047570774,62.817961443
5152,65.2657782685,67.9695542239
5201,51.842901183,60.678541696
5252,74.0336832358,69.5648699701
5301,64.6331253804,66.1576753358
5352,106.690590696,87.3872835433
5401,72.7561527619,68.9482378676
5452,56.9914338543,62.7220317327
5501,60.961318847,64.0064031176
5552,56.5256878124,71.3925189553
